"","Signature","Gene"
"137","Wouters Intermediate cell state","CSMD1"
"138","Wouters Intermediate cell state","MGC4294"
"139","Wouters Intermediate cell state","UBA7"
"140","Wouters Intermediate cell state","KIF5A"
"141","Wouters Intermediate cell state","KRT18"
"142","Wouters Intermediate cell state","FAM19A3"
"143","Wouters Intermediate cell state","PCDHGA12"
"144","Wouters Intermediate cell state","CASP1"
"145","Wouters Intermediate cell state","SYN1"
"146","Wouters Intermediate cell state","RP11-982M15.6"
"147","Wouters Intermediate cell state","THRB"
"148","Wouters Intermediate cell state","S100A4"
"149","Wouters Intermediate cell state","PPP2R2B"
"150","Wouters Intermediate cell state","M1AP"
"151","Wouters Intermediate cell state","KDR"
"152","Wouters Intermediate cell state","GPR64"
"153","Wouters Intermediate cell state","LMCD1"
"154","Wouters Intermediate cell state","CHST1"
"155","Wouters Intermediate cell state","LPAL2"
"156","Wouters Intermediate cell state","RIN2"
"157","Wouters Intermediate cell state","NPR1"
"158","Wouters Intermediate cell state","PREX1"
"159","Wouters Intermediate cell state","RPSAP52"
"160","Wouters Intermediate cell state","HCP5"
"161","Wouters Intermediate cell state","CD36"
"162","Wouters Intermediate cell state","CTSK"
"163","Wouters Intermediate cell state","AC013268.5"
"164","Wouters Intermediate cell state","SDC2"
"165","Wouters Intermediate cell state","LGI4"
"166","Wouters Intermediate cell state","RGMA"
"167","Wouters Intermediate cell state","TM4SF18"
"168","Wouters Intermediate cell state","CYP26A1"
"169","Wouters Intermediate cell state","HTR7"
"170","Wouters Intermediate cell state","FRMPD4"
"171","Wouters Intermediate cell state","KCNS1"
"172","Wouters Intermediate cell state","APOL1"
"173","Wouters Intermediate cell state","FAP"
"174","Wouters Intermediate cell state","H19"
"175","Wouters Intermediate cell state","MYPN"
"176","Wouters Intermediate cell state","MEGF10"
"177","Wouters Intermediate cell state","ISLR2"
"178","Wouters Intermediate cell state","ITGA4"
"179","Wouters Intermediate cell state","AGMO"
"180","Wouters Intermediate cell state","RP11-230G5.2"
"181","Wouters Intermediate cell state","BAALC"
"182","Wouters Intermediate cell state","TMEM178B"
"183","Wouters Intermediate cell state","NES"
