"","Signature","Gene"
"3456","Wouters Mesenchymal-like cell state","SGK223"
"3457","Wouters Mesenchymal-like cell state","PALLD"
"3458","Wouters Mesenchymal-like cell state","B4GALNT1"
"3459","Wouters Mesenchymal-like cell state","ITM2B"
"3460","Wouters Mesenchymal-like cell state","RP11-150O12.6"
"3461","Wouters Mesenchymal-like cell state","RASSF5"
"3462","Wouters Mesenchymal-like cell state","SYNJ2"
"3463","Wouters Mesenchymal-like cell state","TM4SF18"
"3464","Wouters Mesenchymal-like cell state","SSBP2"
"3465","Wouters Mesenchymal-like cell state","CD151"
"3466","Wouters Mesenchymal-like cell state","LINC00035"
"3467","Wouters Mesenchymal-like cell state","ABLIM3"
"3468","Wouters Mesenchymal-like cell state","RP5-882C2.2"
"3469","Wouters Mesenchymal-like cell state","PRSS12"
"3470","Wouters Mesenchymal-like cell state","ADAP2"
"3471","Wouters Mesenchymal-like cell state","CABYR"
"3472","Wouters Mesenchymal-like cell state","RP11-686D22.4"
"3473","Wouters Mesenchymal-like cell state","ECE1"
"3474","Wouters Mesenchymal-like cell state","TGFB1I1"
"3475","Wouters Mesenchymal-like cell state","PSMB9"
"3476","Wouters Mesenchymal-like cell state","BNIP3P1"
"3477","Wouters Mesenchymal-like cell state","CDC42EP2"
"3478","Wouters Mesenchymal-like cell state","RP11-274B21.10"
"3479","Wouters Mesenchymal-like cell state","ADAMTS7"
"3480","Wouters Mesenchymal-like cell state","RP11-575F12.2"
"3481","Wouters Mesenchymal-like cell state","FRMD6"
"3482","Wouters Mesenchymal-like cell state","hsa-mir-6080"
"3483","Wouters Mesenchymal-like cell state","RP11-923I11.1"
"3484","Wouters Mesenchymal-like cell state","AC006547.14"
"3485","Wouters Mesenchymal-like cell state","INTS4L1"
"3486","Wouters Mesenchymal-like cell state","ANKRD55"
"3487","Wouters Mesenchymal-like cell state","NLGN2"
"3488","Wouters Mesenchymal-like cell state","PLEKHG5"
"3489","Wouters Mesenchymal-like cell state","DCBLD1"
"3490","Wouters Mesenchymal-like cell state","FNDC4"
"3491","Wouters Mesenchymal-like cell state","GADD45B"
"3492","Wouters Mesenchymal-like cell state","RNF152"
"3493","Wouters Mesenchymal-like cell state","RGL1"
"3494","Wouters Mesenchymal-like cell state","SYTL4"
"3495","Wouters Mesenchymal-like cell state","KMO"
"3496","Wouters Mesenchymal-like cell state","S100A4"
"3497","Wouters Mesenchymal-like cell state","ZMIZ1-AS1"
"3498","Wouters Mesenchymal-like cell state","LDHAP2"
"3499","Wouters Mesenchymal-like cell state","ITGB5"
"3500","Wouters Mesenchymal-like cell state","ADAM9"
"3501","Wouters Mesenchymal-like cell state","KALRN"
"3502","Wouters Mesenchymal-like cell state","SLC10A3"
"3503","Wouters Mesenchymal-like cell state","TIPARP"
"3504","Wouters Mesenchymal-like cell state","AC129929.5"
"3505","Wouters Mesenchymal-like cell state","ALDH3B1"
"3506","Wouters Mesenchymal-like cell state","ZC3H12A"
"3507","Wouters Mesenchymal-like cell state","ICOSLG"
"3508","Wouters Mesenchymal-like cell state","FGFRL1"
"3509","Wouters Mesenchymal-like cell state","ZFP36L1"
"3510","Wouters Mesenchymal-like cell state","RP11-7F18.2"
"3511","Wouters Mesenchymal-like cell state","AMOTL2"
"3512","Wouters Mesenchymal-like cell state","PRR5L"
"3513","Wouters Mesenchymal-like cell state","CKAP4"
"3514","Wouters Mesenchymal-like cell state","HOXC11"
"3515","Wouters Mesenchymal-like cell state","AC019221.4"
"3516","Wouters Mesenchymal-like cell state","SYTL3"
"3517","Wouters Mesenchymal-like cell state","SEC24D"
"3518","Wouters Mesenchymal-like cell state","RP11-417J8.6"
"3519","Wouters Mesenchymal-like cell state","ATP2C2"
"3520","Wouters Mesenchymal-like cell state","NKX3-1"
"3521","Wouters Mesenchymal-like cell state","C4orf3"
"3522","Wouters Mesenchymal-like cell state","FMOD"
"3523","Wouters Mesenchymal-like cell state","STX1B"
"3524","Wouters Mesenchymal-like cell state","LHX4"
"3525","Wouters Mesenchymal-like cell state","CSPG5"
"3526","Wouters Mesenchymal-like cell state","MAN1A1"
"3527","Wouters Mesenchymal-like cell state","RP11-104N10.1"
"3528","Wouters Mesenchymal-like cell state","RP3-412A9.10"
"3529","Wouters Mesenchymal-like cell state","PMAIP1"
"3530","Wouters Mesenchymal-like cell state","BHLHE40-AS1"
"3531","Wouters Mesenchymal-like cell state","TLDC1"
"3532","Wouters Mesenchymal-like cell state","KDELC1"
"3533","Wouters Mesenchymal-like cell state","VEGFA"
"3534","Wouters Mesenchymal-like cell state","IL6ST"
"3535","Wouters Mesenchymal-like cell state","SERPINB8"
"3536","Wouters Mesenchymal-like cell state","RP13-104F24.3"
"3537","Wouters Mesenchymal-like cell state","PPP1R1C"
"3538","Wouters Mesenchymal-like cell state","CYLD"
"3539","Wouters Mesenchymal-like cell state","BCL9L"
"3540","Wouters Mesenchymal-like cell state","CASC10"
"3541","Wouters Mesenchymal-like cell state","PPP1R13L"
"3542","Wouters Mesenchymal-like cell state","KB-1732A1.1"
"3543","Wouters Mesenchymal-like cell state","MMRN2"
"3544","Wouters Mesenchymal-like cell state","RP11-553L6.5"
"3545","Wouters Mesenchymal-like cell state","IFITM2"
"3546","Wouters Mesenchymal-like cell state","CRABP2"
"3547","Wouters Mesenchymal-like cell state","LINC00342"
"3548","Wouters Mesenchymal-like cell state","RP11-276A18.2"
"3549","Wouters Mesenchymal-like cell state","FOSB"
"3550","Wouters Mesenchymal-like cell state","GPX8"
"3551","Wouters Mesenchymal-like cell state","RP11-10C24.2"
"3552","Wouters Mesenchymal-like cell state","SAMD9"
"3553","Wouters Mesenchymal-like cell state","DPY19L2"
"3554","Wouters Mesenchymal-like cell state","ANKEF1"
"3555","Wouters Mesenchymal-like cell state","DIXDC1"
"3556","Wouters Mesenchymal-like cell state","TXNIP"
"3557","Wouters Mesenchymal-like cell state","CORO1A"
"3558","Wouters Mesenchymal-like cell state","CTD-2031P19.3"
"3559","Wouters Mesenchymal-like cell state","LA16c-OS12.2"
"3560","Wouters Mesenchymal-like cell state","RP11-145F16.2"
"3561","Wouters Mesenchymal-like cell state","LDHAP5"
"3562","Wouters Mesenchymal-like cell state","AC017048.3"
"3563","Wouters Mesenchymal-like cell state","PLCE1"
"3564","Wouters Mesenchymal-like cell state","PROCR"
"3565","Wouters Mesenchymal-like cell state","GULP1"
"3566","Wouters Mesenchymal-like cell state","FXYD5"
"3567","Wouters Mesenchymal-like cell state","GS1-465N13.1"
"3568","Wouters Mesenchymal-like cell state","SOCS5"
"3569","Wouters Mesenchymal-like cell state","MNX1"
"3570","Wouters Mesenchymal-like cell state","HIST1H2BD"
"3571","Wouters Mesenchymal-like cell state","GSAP"
"3572","Wouters Mesenchymal-like cell state","RP11-467L13.5"
"3573","Wouters Mesenchymal-like cell state","RGMB-AS1"
"3574","Wouters Mesenchymal-like cell state","MAP9"
"3575","Wouters Mesenchymal-like cell state","DDAH1"
"3576","Wouters Mesenchymal-like cell state","ARHGAP29"
"3577","Wouters Mesenchymal-like cell state","MRPS24"
"3578","Wouters Mesenchymal-like cell state","TIMP1"
"3579","Wouters Mesenchymal-like cell state","RP11-378A13.1"
"3580","Wouters Mesenchymal-like cell state","PRKAG2"
"3581","Wouters Mesenchymal-like cell state","SLC9A3R2"
"3582","Wouters Mesenchymal-like cell state","FOSL1"
"3583","Wouters Mesenchymal-like cell state","PLEC"
"3584","Wouters Mesenchymal-like cell state","CSF1R"
"3585","Wouters Mesenchymal-like cell state","MIR568"
"3586","Wouters Mesenchymal-like cell state","RP11-7F17.1"
"3587","Wouters Mesenchymal-like cell state","TMEM91"
"3588","Wouters Mesenchymal-like cell state","RGMB"
"3589","Wouters Mesenchymal-like cell state","AURKC"
"3590","Wouters Mesenchymal-like cell state","RP13-516M14.2"
"3591","Wouters Mesenchymal-like cell state","PDGFRL"
"3592","Wouters Mesenchymal-like cell state","AMH"
"3593","Wouters Mesenchymal-like cell state","PAQR5"
"3594","Wouters Mesenchymal-like cell state","TPM4"
"3595","Wouters Mesenchymal-like cell state","TES"
"3596","Wouters Mesenchymal-like cell state","CCDC109B"
"3597","Wouters Mesenchymal-like cell state","C9orf3"
"3598","Wouters Mesenchymal-like cell state","ANKRD13A"
"3599","Wouters Mesenchymal-like cell state","AGPAT9"
"3600","Wouters Mesenchymal-like cell state","S100A3"
"3601","Wouters Mesenchymal-like cell state","RP11-516A11.1"
"3602","Wouters Mesenchymal-like cell state","MVP"
"3603","Wouters Mesenchymal-like cell state","HLA-C"
"3604","Wouters Mesenchymal-like cell state","SOX15"
"3605","Wouters Mesenchymal-like cell state","RP11-181E10.3"
"3606","Wouters Mesenchymal-like cell state","RCN1P2"
"3607","Wouters Mesenchymal-like cell state","BIRC2"
"3608","Wouters Mesenchymal-like cell state","C20orf112"
"3609","Wouters Mesenchymal-like cell state","CLIP3"
"3610","Wouters Mesenchymal-like cell state","GBE1"
"3611","Wouters Mesenchymal-like cell state","C16orf45"
"3612","Wouters Mesenchymal-like cell state","AC005932.1"
"3613","Wouters Mesenchymal-like cell state","RPL17P50"
"3614","Wouters Mesenchymal-like cell state","CD36"
"3615","Wouters Mesenchymal-like cell state","NR2F2"
"3616","Wouters Mesenchymal-like cell state","CAPN2"
"3617","Wouters Mesenchymal-like cell state","OSR2"
"3618","Wouters Mesenchymal-like cell state","NRIP1"
"3619","Wouters Mesenchymal-like cell state","SH3RF1"
"3620","Wouters Mesenchymal-like cell state","ZFP36"
"3621","Wouters Mesenchymal-like cell state","PDE8B"
"3622","Wouters Mesenchymal-like cell state","PDLIM1"
"3623","Wouters Mesenchymal-like cell state","TGFBR2"
"3624","Wouters Mesenchymal-like cell state","ARHGAP4"
"3625","Wouters Mesenchymal-like cell state","AC017099.3"
"3626","Wouters Mesenchymal-like cell state","FEZ2"
"3627","Wouters Mesenchymal-like cell state","DLK2"
"3628","Wouters Mesenchymal-like cell state","VCL"
"3629","Wouters Mesenchymal-like cell state","RP11-447H19.1"
"3630","Wouters Mesenchymal-like cell state","RP13-131K19.6"
"3631","Wouters Mesenchymal-like cell state","RP11-448G15.3"
"3632","Wouters Mesenchymal-like cell state","SLC25A37"
"3633","Wouters Mesenchymal-like cell state","FAM84B"
"3634","Wouters Mesenchymal-like cell state","PA2G4P2"
"3635","Wouters Mesenchymal-like cell state","RP4-758J24.5"
"3636","Wouters Mesenchymal-like cell state","ZNF83"
"3637","Wouters Mesenchymal-like cell state","FUT2"
"3638","Wouters Mesenchymal-like cell state","ABCA11P"
"3639","Wouters Mesenchymal-like cell state","JUN"
"3640","Wouters Mesenchymal-like cell state","AC127496.1"
"3641","Wouters Mesenchymal-like cell state","SRPK3"
"3642","Wouters Mesenchymal-like cell state","TTC7A"
"3643","Wouters Mesenchymal-like cell state","ASPH"
"3644","Wouters Mesenchymal-like cell state","RP11-242F4.2"
"3645","Wouters Mesenchymal-like cell state","RP11-473M20.7"
"3646","Wouters Mesenchymal-like cell state","RP11-848P1.5"
"3647","Wouters Mesenchymal-like cell state","C1QTNF6"
"3648","Wouters Mesenchymal-like cell state","RP3-368A4.6"
"3649","Wouters Mesenchymal-like cell state","TJP2"
"3650","Wouters Mesenchymal-like cell state","GLRX"
"3651","Wouters Mesenchymal-like cell state","TBC1D2"
"3652","Wouters Mesenchymal-like cell state","SLC2A1"
"3653","Wouters Mesenchymal-like cell state","FOSL1P1"
"3654","Wouters Mesenchymal-like cell state","SYCP2"
"3655","Wouters Mesenchymal-like cell state","HIST1H1C"
"3656","Wouters Mesenchymal-like cell state","MAP3K14"
"3657","Wouters Mesenchymal-like cell state","DLX1"
"3658","Wouters Mesenchymal-like cell state","TET2"
"3659","Wouters Mesenchymal-like cell state","AC003102.3"
"3660","Wouters Mesenchymal-like cell state","SDC1"
"3661","Wouters Mesenchymal-like cell state","NKX3-2"
"3662","Wouters Mesenchymal-like cell state","HOTAIRM1"
"3663","Wouters Mesenchymal-like cell state","RP11-469M7.1"
"3664","Wouters Mesenchymal-like cell state","HOXA5"
"3665","Wouters Mesenchymal-like cell state","CNPY4"
"3666","Wouters Mesenchymal-like cell state","TUSC3"
"3667","Wouters Mesenchymal-like cell state","REC8"
"3668","Wouters Mesenchymal-like cell state","RP11-395P17.3"
"3669","Wouters Mesenchymal-like cell state","KLF2"
"3670","Wouters Mesenchymal-like cell state","SHOX2"
"3671","Wouters Mesenchymal-like cell state","DNAJB4"
"3672","Wouters Mesenchymal-like cell state","TGM1"
"3673","Wouters Mesenchymal-like cell state","FJX1"
"3674","Wouters Mesenchymal-like cell state","HDAC7"
"3675","Wouters Mesenchymal-like cell state","MEX3B"
"3676","Wouters Mesenchymal-like cell state","MYH9"
"3677","Wouters Mesenchymal-like cell state","TNFSF9"
"3678","Wouters Mesenchymal-like cell state","CDH24"
"3679","Wouters Mesenchymal-like cell state","MEIS1"
"3680","Wouters Mesenchymal-like cell state","CAV2"
"3681","Wouters Mesenchymal-like cell state","DDX58"
"3682","Wouters Mesenchymal-like cell state","CUL4B"
"3683","Wouters Mesenchymal-like cell state","MXD4"
"3684","Wouters Mesenchymal-like cell state","HIST1H4I"
"3685","Wouters Mesenchymal-like cell state","CERCAM"
"3686","Wouters Mesenchymal-like cell state","RND3"
"3687","Wouters Mesenchymal-like cell state","BTG2"
"3688","Wouters Mesenchymal-like cell state","CTC-359D24.3"
"3689","Wouters Mesenchymal-like cell state","TIFA"
"3690","Wouters Mesenchymal-like cell state","LINC00240"
"3691","Wouters Mesenchymal-like cell state","INSIG2"
"3692","Wouters Mesenchymal-like cell state","BAI2"
"3693","Wouters Mesenchymal-like cell state","DCLK2"
"3694","Wouters Mesenchymal-like cell state","ELK3"
"3695","Wouters Mesenchymal-like cell state","NFKBIA"
"3696","Wouters Mesenchymal-like cell state","AC007283.5"
"3697","Wouters Mesenchymal-like cell state","UAP1"
"3698","Wouters Mesenchymal-like cell state","PSD3"
"3699","Wouters Mesenchymal-like cell state","ZNF582"
"3700","Wouters Mesenchymal-like cell state","AP001062.7"
"3701","Wouters Mesenchymal-like cell state","TRPC1"
"3702","Wouters Mesenchymal-like cell state","TNS3"
"3703","Wouters Mesenchymal-like cell state","VOPP1"
"3704","Wouters Mesenchymal-like cell state","ZCCHC18"
"3705","Wouters Mesenchymal-like cell state","BMP1"
"3706","Wouters Mesenchymal-like cell state","LAMB1"
"3707","Wouters Mesenchymal-like cell state","RP11-666A20.4"
"3708","Wouters Mesenchymal-like cell state","ZNF583"
"3709","Wouters Mesenchymal-like cell state","TMEM132A"
"3710","Wouters Mesenchymal-like cell state","ILK"
"3711","Wouters Mesenchymal-like cell state","PHF11"
"3712","Wouters Mesenchymal-like cell state","ATP2B4"
"3713","Wouters Mesenchymal-like cell state","MYBL1"
"3714","Wouters Mesenchymal-like cell state","RP1-90J20.7"
"3715","Wouters Mesenchymal-like cell state","SCN1B"
"3716","Wouters Mesenchymal-like cell state","CHIC2"
"3717","Wouters Mesenchymal-like cell state","QSOX1"
"3718","Wouters Mesenchymal-like cell state","NEDD4"
"3719","Wouters Mesenchymal-like cell state","PLIN3"
"3720","Wouters Mesenchymal-like cell state","MLKL"
"3721","Wouters Mesenchymal-like cell state","TAGLN2P1"
"3722","Wouters Mesenchymal-like cell state","NME7"
"3723","Wouters Mesenchymal-like cell state","LINC00205"
"3724","Wouters Mesenchymal-like cell state","CCNG2"
"3725","Wouters Mesenchymal-like cell state","B3GNT5"
"3726","Wouters Mesenchymal-like cell state","FAS"
"3727","Wouters Mesenchymal-like cell state","SLC4A3"
"3728","Wouters Mesenchymal-like cell state","PDK1"
"3729","Wouters Mesenchymal-like cell state","KDELC2"
"3730","Wouters Mesenchymal-like cell state","AF127936.7"
"3731","Wouters Mesenchymal-like cell state","HSF2BP"
"3732","Wouters Mesenchymal-like cell state","PBXIP1"
"3733","Wouters Mesenchymal-like cell state","KANK2"
"3734","Wouters Mesenchymal-like cell state","MAN2B2"
"3735","Wouters Mesenchymal-like cell state","RP11-66B24.4"
"3736","Wouters Mesenchymal-like cell state","TCEAL3"
"3737","Wouters Mesenchymal-like cell state","DNM1"
"3738","Wouters Mesenchymal-like cell state","SCN8A"
"3739","Wouters Mesenchymal-like cell state","SOGA2"
"3740","Wouters Mesenchymal-like cell state","RP11-10C24.3"
"3741","Wouters Mesenchymal-like cell state","AKNAD1"
"3742","Wouters Mesenchymal-like cell state","APBB2"
"3743","Wouters Mesenchymal-like cell state","CTA-204B4.2"
"3744","Wouters Mesenchymal-like cell state","TSHZ3"
"3745","Wouters Mesenchymal-like cell state","ZNF347"
"3746","Wouters Mesenchymal-like cell state","PVRL2"
"3747","Wouters Mesenchymal-like cell state","MTMR7"
"3748","Wouters Mesenchymal-like cell state","HOXB5"
"3749","Wouters Mesenchymal-like cell state","PRG4"
"3750","Wouters Mesenchymal-like cell state","HIST1H2BC"
"3751","Wouters Mesenchymal-like cell state","GS1-393G12.12"
"3752","Wouters Mesenchymal-like cell state","MIR3916"
"3753","Wouters Mesenchymal-like cell state","TMCO3"
"3754","Wouters Mesenchymal-like cell state","DSTN"
"3755","Wouters Mesenchymal-like cell state","TLR3"
"3756","Wouters Mesenchymal-like cell state","LRP10"
"3757","Wouters Mesenchymal-like cell state","AHRR"
"3758","Wouters Mesenchymal-like cell state","ITGAV"
"3759","Wouters Mesenchymal-like cell state","ATP10D"
"3760","Wouters Mesenchymal-like cell state","P4HA1"
"3761","Wouters Mesenchymal-like cell state","DTWD1"
"3762","Wouters Mesenchymal-like cell state","TAPBPL"
"3763","Wouters Mesenchymal-like cell state","STK24-AS1"
"3764","Wouters Mesenchymal-like cell state","KLF10"
"3765","Wouters Mesenchymal-like cell state","RASSF7"
"3766","Wouters Mesenchymal-like cell state","CTXN1"
"3767","Wouters Mesenchymal-like cell state","MBOAT7"
"3768","Wouters Mesenchymal-like cell state","DGKD"
"3769","Wouters Mesenchymal-like cell state","AIG1"
"3770","Wouters Mesenchymal-like cell state","SPDL1"
"3771","Wouters Mesenchymal-like cell state","ZYX"
"3772","Wouters Mesenchymal-like cell state","LAT2"
"3773","Wouters Mesenchymal-like cell state","SVIL"
"3774","Wouters Mesenchymal-like cell state","ZBTB46"
"3775","Wouters Mesenchymal-like cell state","UBA6"
"3776","Wouters Mesenchymal-like cell state","TAPBP"
"3777","Wouters Mesenchymal-like cell state","FZD1"
"3778","Wouters Mesenchymal-like cell state","MMD"
"3779","Wouters Mesenchymal-like cell state","WBP1"
"3780","Wouters Mesenchymal-like cell state","UBE2E3"
"3781","Wouters Mesenchymal-like cell state","LHFP"
"3782","Wouters Mesenchymal-like cell state","MICALL2"
"3783","Wouters Mesenchymal-like cell state","ZNF542"
"3784","Wouters Mesenchymal-like cell state","SERINC2"
"3785","Wouters Mesenchymal-like cell state","IRS1"
"3786","Wouters Mesenchymal-like cell state","KCTD1"
"3787","Wouters Mesenchymal-like cell state","DSTNP1"
"3788","Wouters Mesenchymal-like cell state","B2M"
"3789","Wouters Mesenchymal-like cell state","LASP1"
"3790","Wouters Mesenchymal-like cell state","FBXL19-AS1"
"3791","Wouters Mesenchymal-like cell state","TNFAIP8"
"3792","Wouters Mesenchymal-like cell state","FKBP7"
"3793","Wouters Mesenchymal-like cell state","CNIH2"
"3794","Wouters Mesenchymal-like cell state","PITPNM2"
"3795","Wouters Mesenchymal-like cell state","GPRASP2"
"3796","Wouters Mesenchymal-like cell state","CASP4"
"3797","Wouters Mesenchymal-like cell state","PDIA4"
"3798","Wouters Mesenchymal-like cell state","CALD1"
"3799","Wouters Mesenchymal-like cell state","FOSL2"
"3800","Wouters Mesenchymal-like cell state","LINC00936"
"3801","Wouters Mesenchymal-like cell state","FOXC1"
"3802","Wouters Mesenchymal-like cell state","S100A10"
"3803","Wouters Mesenchymal-like cell state","CTC-429P9.3"
"3804","Wouters Mesenchymal-like cell state","NUCB2"
"3805","Wouters Mesenchymal-like cell state","BMF"
"3806","Wouters Mesenchymal-like cell state","DDX47"
"3807","Wouters Mesenchymal-like cell state","IKBIP"
"3808","Wouters Mesenchymal-like cell state","TSC22D1"
"3809","Wouters Mesenchymal-like cell state","RIN1"
"3810","Wouters Mesenchymal-like cell state","LDHA"
"3811","Wouters Mesenchymal-like cell state","LDHAP3"
"3812","Wouters Mesenchymal-like cell state","PPAP2A"
"3813","Wouters Mesenchymal-like cell state","MTHFD2L"
"3814","Wouters Mesenchymal-like cell state","TAGLN2"
"3815","Wouters Mesenchymal-like cell state","P4HA2"
"3816","Wouters Mesenchymal-like cell state","AGRN"
"3817","Wouters Mesenchymal-like cell state","MAML2"
"3818","Wouters Mesenchymal-like cell state","TIAM2"
"3819","Wouters Mesenchymal-like cell state","GALNT10"
"3820","Wouters Mesenchymal-like cell state","IDUA"
"3821","Wouters Mesenchymal-like cell state","EHBP1L1"
"3822","Wouters Mesenchymal-like cell state","RP13-516M14.1"
"3823","Wouters Mesenchymal-like cell state","NIPSNAP3A"
"3824","Wouters Mesenchymal-like cell state","TNIP1"
"3825","Wouters Mesenchymal-like cell state","LACC1"
"3826","Wouters Mesenchymal-like cell state","NXT2"
"3827","Wouters Mesenchymal-like cell state","HSP90B2P"
"3828","Wouters Mesenchymal-like cell state","SAP30L-AS1"
"3829","Wouters Mesenchymal-like cell state","AC009404.2"
"3830","Wouters Mesenchymal-like cell state","STARD13"
"3831","Wouters Mesenchymal-like cell state","LDHAP4"
"3832","Wouters Mesenchymal-like cell state","ST6GALNAC6"
"3833","Wouters Mesenchymal-like cell state","DYRK1B"
"3834","Wouters Mesenchymal-like cell state","CASP6"
"3835","Wouters Mesenchymal-like cell state","PPP1R18"
"3836","Wouters Mesenchymal-like cell state","RUNDC3B"
"3837","Wouters Mesenchymal-like cell state","CA5B"
"3838","Wouters Mesenchymal-like cell state","MSRB3"
"3839","Wouters Mesenchymal-like cell state","CCDC96"
"3840","Wouters Mesenchymal-like cell state","LEPREL4"
"3841","Wouters Mesenchymal-like cell state","RP11-395B7.7"
"3842","Wouters Mesenchymal-like cell state","OSBPL3"
"3843","Wouters Mesenchymal-like cell state","LRP1"
"3844","Wouters Mesenchymal-like cell state","CEP250"
"3845","Wouters Mesenchymal-like cell state","TRIM52"
"3846","Wouters Mesenchymal-like cell state","IQSEC2"
"3847","Wouters Mesenchymal-like cell state","SYTL2"
"3848","Wouters Mesenchymal-like cell state","FAM109A"
"3849","Wouters Mesenchymal-like cell state","ZDHHC2"
"3850","Wouters Mesenchymal-like cell state","C1QL1"
"3851","Wouters Mesenchymal-like cell state","ANXA2P2"
"3852","Wouters Mesenchymal-like cell state","DIAPH3"
"3853","Wouters Mesenchymal-like cell state","AHR"
"3854","Wouters Mesenchymal-like cell state","LRRC49"
"3855","Wouters Mesenchymal-like cell state","DLC1"
"3856","Wouters Mesenchymal-like cell state","CLIC1P1"
"3857","Wouters Mesenchymal-like cell state","ITPKA"
"3858","Wouters Mesenchymal-like cell state","BTN3A3"
"3859","Wouters Mesenchymal-like cell state","GPCPD1"
"3860","Wouters Mesenchymal-like cell state","ACTN1"
"3861","Wouters Mesenchymal-like cell state","FOXP1"
"3862","Wouters Mesenchymal-like cell state","ARL4D"
"3863","Wouters Mesenchymal-like cell state","TBC1D23"
"3864","Wouters Mesenchymal-like cell state","HPCAL1"
"3865","Wouters Mesenchymal-like cell state","CHPF"
"3866","Wouters Mesenchymal-like cell state","MCFD2"
"3867","Wouters Mesenchymal-like cell state","SLC38A2"
"3868","Wouters Mesenchymal-like cell state","C1orf226"
"3869","Wouters Mesenchymal-like cell state","ACAP1"
"3870","Wouters Mesenchymal-like cell state","AP000525.9"
"3871","Wouters Mesenchymal-like cell state","ZNF785"
"3872","Wouters Mesenchymal-like cell state","CRMP1"
"3873","Wouters Mesenchymal-like cell state","PLP2"
"3874","Wouters Mesenchymal-like cell state","TTLL3"
"3875","Wouters Mesenchymal-like cell state","CTD-2314B22.3"
"3876","Wouters Mesenchymal-like cell state","ZNF395"
"3877","Wouters Mesenchymal-like cell state","BNIP3"
"3878","Wouters Mesenchymal-like cell state","PPP3CA"
"3879","Wouters Mesenchymal-like cell state","CALM2"
"3880","Wouters Mesenchymal-like cell state","MAP4K4"
"3881","Wouters Mesenchymal-like cell state","ZNF75D"
"3882","Wouters Mesenchymal-like cell state","FKBP10"
"3883","Wouters Mesenchymal-like cell state","RP11-420A23.1"
"3884","Wouters Mesenchymal-like cell state","CDK6"
"3885","Wouters Mesenchymal-like cell state","XXbac-BPG181B23.7"
"3886","Wouters Mesenchymal-like cell state","TMEM123"
"3887","Wouters Mesenchymal-like cell state","NCSTN"
"3888","Wouters Mesenchymal-like cell state","ACPL2"
"3889","Wouters Mesenchymal-like cell state","FAM89B"
"3890","Wouters Mesenchymal-like cell state","NR3C1"
"3891","Wouters Mesenchymal-like cell state","GTF2IRD2"
"3892","Wouters Mesenchymal-like cell state","PVR"
"3893","Wouters Mesenchymal-like cell state","ZNF432"
"3894","Wouters Mesenchymal-like cell state","DRAP1"
"3895","Wouters Mesenchymal-like cell state","NINJ1"
"3896","Wouters Mesenchymal-like cell state","RP11-96H19.1"
"3897","Wouters Mesenchymal-like cell state","TIGD7"
"3898","Wouters Mesenchymal-like cell state","ACADVL"
"3899","Wouters Mesenchymal-like cell state","COTL1"
"3900","Wouters Mesenchymal-like cell state","RHBDF2"
"3901","Wouters Mesenchymal-like cell state","AKR1B1"
"3902","Wouters Mesenchymal-like cell state","RAI14"
"3903","Wouters Mesenchymal-like cell state","CFLAR"
"3904","Wouters Mesenchymal-like cell state","RGS3"
"3905","Wouters Mesenchymal-like cell state","STK17A"
"3906","Wouters Mesenchymal-like cell state","DPYSL2"
"3907","Wouters Mesenchymal-like cell state","IFFO2"
"3908","Wouters Mesenchymal-like cell state","SMTN"
"3909","Wouters Mesenchymal-like cell state","FUT8"
"3910","Wouters Mesenchymal-like cell state","ZNF528"
"3911","Wouters Mesenchymal-like cell state","ZSCAN16"
"3912","Wouters Mesenchymal-like cell state","ANLN"
"3913","Wouters Mesenchymal-like cell state","POFUT2"
"3914","Wouters Mesenchymal-like cell state","TUBA1A"
"3915","Wouters Mesenchymal-like cell state","TWSG1"
"3916","Wouters Mesenchymal-like cell state","BCAR3"
"3917","Wouters Mesenchymal-like cell state","ATP9A"
"3918","Wouters Mesenchymal-like cell state","ZHX3"
"3919","Wouters Mesenchymal-like cell state","MYO1E"
"3920","Wouters Mesenchymal-like cell state","SPIN1"
"3921","Wouters Mesenchymal-like cell state","RUNX1"
"3922","Wouters Mesenchymal-like cell state","BNIP3L"
"3923","Wouters Mesenchymal-like cell state","DMD"
"3924","Wouters Mesenchymal-like cell state","DDX39B"
"3925","Wouters Mesenchymal-like cell state","PGRMC2"
"3926","Wouters Mesenchymal-like cell state","MAP3K5"
"3927","Wouters Mesenchymal-like cell state","PKIG"
"3928","Wouters Mesenchymal-like cell state","SLC30A4"
"3929","Wouters Mesenchymal-like cell state","ZNF417"
"3930","Wouters Mesenchymal-like cell state","NBPF10"
"3931","Wouters Mesenchymal-like cell state","SMOX"
"3932","Wouters Mesenchymal-like cell state","ULBP2"
"3933","Wouters Mesenchymal-like cell state","HMGA1"
"3934","Wouters Mesenchymal-like cell state","TBC1D8B"
"3935","Wouters Mesenchymal-like cell state","DDX60"
"3936","Wouters Mesenchymal-like cell state","RP3-467N11.1"
"3937","Wouters Mesenchymal-like cell state","MZF1"
"3938","Wouters Mesenchymal-like cell state","MRI1"
"3939","Wouters Mesenchymal-like cell state","CCDC153"
"3940","Wouters Mesenchymal-like cell state","HSP90B1"
"3941","Wouters Mesenchymal-like cell state","LL0XNC01-7P3.1"
"3942","Wouters Mesenchymal-like cell state","TOM1L2"
"3943","Wouters Mesenchymal-like cell state","KIAA0753"
"3944","Wouters Mesenchymal-like cell state","TBC1D19"
